code,wef_rank,wef_score,score,revised_score,rank,revised_rank,diff_score,diff_rank,country
ISL,79,0.992,0.9922485822883279,0.933263037438655,79.0,97.0,-0.05898554484967289,18.0,Iceland
IND,112,0.964,0.974463372104431,0.9710998907078477,110.0,21.0,-0.0033634813965832677,-89.0,India
IDN,105,0.971,0.9684578864734634,0.947152785332319,116.0,78.0,-0.021305101141144478,-38.0,Indonesia
IRN,102,0.977,0.9819202255622972,0.980698755643564,101.0,11.0,-0.0012214699187331757,-90.0,Iran
IRL,1,1.0,0.9998912544465187,0.9436830203711797,26.0,83.0,-0.056208234075339036,57.0,Ireland
ISR,1,1.0,1.0,0.9487808391014763,1.0,65.0,-0.05121916089852374,64.0,Israel
ITA,56,0.996,0.9957322216637585,0.9548001590030943,57.0,52.0,-0.04093206266066418,-5.0,Italy
JAM,81,0.991,0.9896691724192744,0.9420295494061501,89.0,87.0,-0.0476396230131243,-2.0,Jamaica
JPN,72,0.993,0.9917933978767184,0.9885928478862275,80.0,2.0,-0.0032005499904909085,-78.0,Japan
JOR,45,0.998,0.9992376005222401,0.9633355020250445,31.0,37.0,-0.03590209849719561,6.0,Jordan
KAZ,36,0.999,0.9990116647857431,0.9768959284969456,32.0,14.0,-0.022115736288797483,-18.0,Kazakhstan
KEN,135,0.877,0.9545214012943068,0.9368213682902014,126.0,95.0,-0.017700033004105498,-31.0,Kenya
KWT,50,0.997,0.997839868146347,0.9219386661457393,49.0,110.0,-0.07590120200060768,61.0,Kuwait
KGZ,82,0.991,0.9907612909195936,0.9702807143897806,85.0,22.0,-0.020480576529813055,-63.0,Kyrgyzstan
LAO,104,0.972,0.9772109431672154,0.9587676419974551,105.0,44.0,-0.01844330116976023,-61.0,Laos
LVA,1,1.0,1.0,0.948272379398724,1.0,67.0,-0.051727620601276,66.0,Latvia
LBN,111,0.966,0.9868950018757002,0.9482513501898623,95.0,68.0,-0.03864365168583794,-27.0,Lebanon
LSO,1,1.0,1.0,0.8654880033321143,1.0,135.0,-0.1345119966678857,134.0,Lesotho
LBR,134,0.892,0.9189209573779346,0.8712173822894949,134.0,134.0,-0.0477035750884397,0.0,Liberia
LTU,60,0.995,0.9951499290594422,0.9472980265889843,66.0,76.0,-0.0478519024704579,10.0,Lithuania
LUX,38,0.999,0.9983688166977802,0.975745244961871,41.0,16.0,-0.02262357173590923,-25.0,Luxembourg
MDG,71,0.993,0.995298536553814,0.9528437871754153,63.0,57.0,-0.04245474937839866,-6.0,Madagascar
MYS,1,1.0,1.0,0.953034913950088,1.0,55.0,-0.04696508604991201,54.0,Malaysia
MDV,1,1.0,1.0,0.9009902401664228,1.0,126.0,-0.09900975983357718,125.0,Maldives
MLI,142,0.776,0.79988234501121,0.7949562424269252,144.0,144.0,-0.0049261025842848305,0.0,Mali
MLT,1,1.0,1.0,0.9566631705156506,1.0,48.0,-0.04333682948434936,47.0,Malta
MUS,70,0.993,0.995298536553814,0.9463942801065779,63.0,82.0,-0.04890425644723606,19.0,Mauritius
MEX,62,0.994,0.9979669347259736,0.9476891072419146,46.0,71.0,-0.05027782748405907,25.0,Mexico
MDA,37,0.999,0.9973556386124627,0.9607545940938378,52.0,40.0,-0.03660104451862489,-12.0,Moldova
MNG,1,1.0,1.0,0.9382132981069629,1.0,92.0,-0.061786701893037144,91.0,Mongolia
MNE,44,0.998,0.9988564007833601,0.9666471493515566,37.0,32.0,-0.03220925143180353,-5.0,Montenegro
MAR,118,0.956,0.9681553667376995,0.9487036760612705,117.0,66.0,-0.019451690676429045,-51.0,Morocco
MOZ,133,0.894,0.9139311882374557,0.9093872840989332,135.0,119.0,-0.004543904138522459,-16.0,Mozambique
NAM,1,1.0,0.9971726156094857,0.932023869798063,54.0,101.0,-0.06514874581142271,47.0,Namibia
NPL,130,0.923,0.9722994856413902,0.9479646498000704,114.0,69.0,-0.02433483584131979,-45.0,Nepal
NLD,1,1.0,1.0,0.9751140254706232,1.0,17.0,-0.024885974529376798,16.0,Netherlands
NZL,1,1.0,1.0,0.92963119680718,1.0,105.0,-0.07036880319282002,104.0,New Zealand
NIC,32,1.0,0.9995671917343798,0.966960116928919,28.0,31.0,-0.03260707480546077,3.0,Nicaragua
NER,141,0.786,0.811237084758125,0.8044740522114799,143.0,143.0,-0.006763032546645009,0.0,Niger
NGA,138,0.842,0.9257582433412836,0.915915644138718,132.0,117.0,-0.009842599202565694,-15.0,Nigeria
MKD,1,1.0,1.0,0.9489460821401439,1.0,64.0,-0.051053917859856135,63.0,North Macedonia
NOR,74,0.993,0.9931098509229581,0.9465235976306738,75.0,81.0,-0.046586253292284274,6.0,Norway
OMN,89,0.989,0.9917263954356663,0.9515600631890644,81.0,59.0,-0.04016633224660193,-22.0,Oman
PAK,139,0.836,0.8485403096562965,0.845219913806552,140.0,138.0,-0.0033203958497444175,-2.0,Pakistan
PAN,42,0.998,0.9989834673629868,0.946664770518024,33.0,80.0,-0.05231869684496282,47.0,Panama
PRY,43,0.998,0.9989834673629868,0.9549617148121384,33.0,51.0,-0.04402175255084839,18.0,Paraguay
PER,86,0.99,0.9935196044390409,0.9770491352306436,72.0,13.0,-0.01647046920839723,-59.0,Peru
PHL,1,1.0,1.0,0.9433411604592004,1.0,86.0,-0.056658839540799644,85.0,Philippines
POL,53,0.996,0.9965549254614791,0.9472791434421789,55.0,77.0,-0.04927578201930016,22.0,Poland
PRT,68,0.994,0.994323368382654,0.9729230693685222,70.0,19.0,-0.021400299014131763,-51.0,Portugal
QAT,58,0.996,0.9958701579849106,0.9055200188262695,56.0,122.0,-0.0903501391586411,66.0,Qatar
ROU,35,0.999,0.9983688166977802,0.9711609842990374,41.0,20.0,-0.027207832398742804,-21.0,Romania
RWA,115,0.962,0.9671850060829845,0.9070985894482739,119.0,121.0,-0.06008641663471059,2.0,Rwanda
SAU,67,0.994,0.9954043659777617,0.9808497772502075,62.0,10.0,-0.014554588727554219,-52.0,Saudi Arabia
SEN,126,0.936,0.9565178383323772,0.8344222926639981,123.0,139.0,-0.1220955456683791,16.0,Senegal
SRB,39,0.999,0.9989834673629868,0.9529908624907963,33.0,56.0,-0.04599260487219048,23.0,Serbia
SLE,122,0.943,0.9511609874287276,0.9166659482335193,128.0,116.0,-0.034495039195208244,-12.0,Sierra Leone
SGP,65,0.994,0.9956336562659545,0.983772715317665,60.0,8.0,-0.011860940948289489,-52.0,Singapore
SVK,1,1.0,1.0,0.9552846884513154,1.0,49.0,-0.04471531154868458,48.0,Slovakia
SVN,1,1.0,1.0,0.9573365220202505,1.0,46.0,-0.04266347797974945,45.0,Slovenia
ZAF,48,0.997,0.9982210678852269,0.8841740129472344,44.0,130.0,-0.1140470549379925,86.0,South Africa
KOR,100,0.98,0.9809889253259092,0.9812210747305139,102.0,9.0,0.0002321494046046979,-93.0,South Korea
ESP,41,0.998,0.9989834673629868,0.9640512468502205,33.0,34.0,-0.03493222051276634,1.0,Spain
LKA,49,0.997,0.997839868146347,0.9302916018020133,49.0,103.0,-0.06754826634433364,54.0,Sri Lanka
SDN,124,0.94,0.9437685353949264,0.9392359682397957,129.0,90.0,-0.004532567155130729,-39.0,Sudan
SUR,80,0.992,0.9932152306149141,0.9033894918231211,74.0,124.0,-0.08982573879179301,50.0,Suriname
SWE,29,1.0,1.0,0.9188853863785689,1.0,113.0,-0.08111461362143113,112.0,Sweden
CHE,77,0.992,0.9924638994469854,0.9778954877742884,78.0,12.0,-0.014568411672697068,-66.0,Switzerland
TJK,120,0.947,0.9590191175317079,0.9512315846016914,122.0,60.0,-0.007787532930016439,-62.0,Tajikistan
THA,95,0.985,0.985250039555098,0.9534031681848751,97.0,54.0,-0.03184687137022291,-43.0,Thailand
TLS,99,0.98,0.9854950396290247,0.9038677146043931,96.0,123.0,-0.08162732502463166,27.0,Timor-Leste
TGO,137,0.843,0.8673932557882419,0.8608080095495865,138.0,136.0,-0.006585246238655418,-2.0,Togo
TUN,106,0.97,0.979669347259736,0.9029124429093451,103.0,125.0,-0.07675690435039084,22.0,Tunisia
TUR,90,0.987,0.9903674790603689,0.9856060504885393,86.0,5.0,-0.004761428571829596,-81.0,Türkiye
UGA,128,0.931,0.9404033079412271,0.92545781187784,130.0,106.0,-0.01494549606338702,-24.0,Uganda
UKR,1,1.0,1.0,0.9839897212000226,1.0,7.0,-0.016010278799977407,6.0,Ukraine
ARE,57,0.996,0.9983481344648535,0.9207019229356699,43.0,111.0,-0.0776462115291836,68.0,United Arab Emirates
GBR,1,1.0,1.0,0.9600739964083043,1.0,42.0,-0.039926003591695736,41.0,United Kingdom
TZA,114,0.963,0.9688791906769783,0.9297735298908634,115.0,104.0,-0.03910566078611488,-11.0,Tanzania
USA,1,1.0,1.0,0.9498154192368188,1.0,62.0,-0.05018458076318122,61.0,United States
URY,31,1.0,0.9994562722325934,0.9227710002118159,29.0,108.0,-0.07668527202077746,79.0,Uruguay
UZB,87,0.99,0.9899260632200602,0.9899198226689729,88.0,1.0,-6.2405510872221015e-06,-87.0,Uzbekistan
VUT,51,0.997,0.9979669347259736,0.9601441201192698,46.0,41.0,-0.03782281460670389,-5.0,Vanuatu
VNM,76,0.992,0.9956820974994751,0.9864579208204614,58.0,4.0,-0.009224176679013762,-54.0,Vietnam
ZMB,101,0.979,0.9827843223980179,0.9374141155320939,100.0,94.0,-0.04537020686592408,-6.0,Zambia
ZWE,64,0.994,0.995672237216251,0.9877414452793888,59.0,3.0,-0.007930791936862192,-56.0,Zimbabwe
