Entity,Code,Year,Life expectancy - Sex: female - Age: 0 - Variant: estimates,Life expectancy - Sex: male - Age: 0 - Variant: estimates,Population - Sex: all - Age: all - Variant: estimates,World regions according to OWID,time,time
Mauritania,MRT,2023,70.484,66.499,5022397,Africa,2023,2023
Mauritius,MUS,2023,78.18,71.935,1273543,Africa,2023,2023
Mayotte,MYT,2023,78.331,74.086,315983,Africa,2023,2023
Mexico,MEX,2023,77.811,72.243,129739713,North America,2023,2023
Micronesia (country),FSM,2023,71.119,63.488,112602,Oceania,2023,2023
Moldova,MDA,2023,75.535,66.568,3067017,Europe,2023,2023
Monaco,MCO,2023,88.504,84.448,38929,Europe,2023,2023
Mongolia,MNG,2023,76.43,67.244,3431887,Asia,2023,2023
Montenegro,MNE,2023,80.31,73.735,633503,Europe,2023,2023
Montserrat,MSR,2023,78.813,74.112,4397,North America,2023,2023
Morocco,MAR,2023,77.6,73.173,37712463,Africa,2023,2023
Mozambique,MOZ,2023,66.544,60.301,33635119,Africa,2023,2023
Myanmar,MMR,2023,70.164,63.79,54133741,Asia,2023,2023
Namibia,NAM,2023,71.337,63.327,2963048,Africa,2023,2023
Nauru,NRU,2023,64.003,60.281,11850,Oceania,2023,2023
Nepal,NPL,2023,71.837,68.835,29694568,Asia,2023,2023
Netherlands,NLD,2023,83.739,80.538,18092473,Europe,2023,2023
New Caledonia,NCL,2023,81.286,76.279,289836,Oceania,2023,2023
New Zealand,NZL,2023,83.77,80.412,5172791,Oceania,2023,2023
Nicaragua,NIC,2023,77.418,72.305,6823569,North America,2023,2023
Niger,NER,2023,62.129,60.26,26159817,Africa,2023,2023
Nigeria,NGA,2023,54.743,54.176,227882899,Africa,2023,2023
Niue,NIU,2023,72.71,67.429,1809,Oceania,2023,2023
North Korea,PRK,2023,75.744,71.457,26418146,Asia,2023,2023
North Macedonia,MKD,2023,79.57,75.106,1831749,Europe,2023,2023
Northern Mariana Islands,MNP,2023,80.74,77.13,45116,Oceania,2023,2023
Norway,NOR,2023,84.849,81.748,5519123,Europe,2023,2023
Oman,OMN,2023,81.882,78.49,5049214,Asia,2023,2023
Pakistan,PAK,2023,70.163,65.332,247504458,Asia,2023,2023
Palau,PLW,2023,71.798,67.154,17707,Oceania,2023,2023
Palestine,PSE,2023,71.502,59.691,5409153,Asia,2023,2023
Panama,PAN,2023,82.557,76.654,4458719,North America,2023,2023
Papua New Guinea,PNG,2023,69.085,63.739,10389589,Oceania,2023,2023
Paraguay,PRY,2023,76.953,70.886,6844101,South America,2023,2023
Peru,PER,2023,80.123,75.413,33845565,South America,2023,2023
Philippines,PHL,2023,72.819,66.893,114891152,Asia,2023,2023
