code,wef_rank,wef_score,score,revised_score,rank,revised_rank,diff_score,diff_rank,country
GRC,80,0.68,0.6832033801913069,0.6779879161326674,78.0,68.0,-0.005215464058639485,-10.0,Greece
GTM,121,0.562,0.5742306699956322,0.579212961152832,128.0,124.0,0.004982291157199836,-4.0,Guatemala
GIN,136,0.489,0.5783121653894989,0.5714926618528297,125.0,127.0,-0.006819503536669269,2.0,Guinea
GUY,47,0.728,0.6990622340725321,0.6702579109799757,65.0,76.0,-0.028804323092556428,11.0,Guyana
HND,94,0.654,0.6562676235009424,0.6558082861195628,94.0,88.0,-0.0004593373813795987,-6.0,Honduras
HUN,72,0.697,0.6911125686618608,0.6612661729878291,73.0,84.0,-0.02984639567403169,11.0,Hungary
ISL,7,0.815,0.8211216051011261,0.787628441218455,5.0,6.0,-0.033493163882671095,1.0,Iceland
IND,142,0.398,0.4184674942818932,0.41741903334032027,143.0,143.0,-0.0010484609415729595,0.0,India
IDN,89,0.667,0.689156015068492,0.6911129082914167,76.0,55.0,0.001956893222924694,-21.0,Indonesia
IRN,144,0.343,0.3781751453247593,0.3799994062345566,145.0,145.0,0.0018242609097972595,0.0,Iran
IRL,41,0.737,0.7414869538672658,0.7354506532784066,36.0,26.0,-0.006036300588859178,-10.0,Ireland
ISR,75,0.69,0.6898836113056933,0.6624202732487205,75.0,83.0,-0.027463338056972764,8.0,Israel
ITA,111,0.608,0.614626421829505,0.6180236638364707,113.0,110.0,0.003397242006965673,-3.0,Italy
JAM,8,0.81,0.7903380115660162,0.6956131769781899,9.0,51.0,-0.09472483458782632,42.0,Jamaica
JPN,120,0.568,0.5958167132371959,0.5859587621109201,117.0,120.0,-0.009857951126275744,3.0,Japan
JOR,129,0.536,0.5668549703247381,0.570987978311325,129.0,128.0,0.00413300798658689,-1.0,Jordan
KAZ,28,0.751,0.7487201597911995,0.6984590359503151,29.0,47.0,-0.050261123840884436,18.0,Kazakhstan
KEN,13,0.789,0.7659043464517218,0.7660002304898899,19.0,11.0,9.588403816807034e-05,-8.0,Kenya
KWT,126,0.55,0.5818447175018902,0.5855442538582585,123.0,121.0,0.003699536356368327,-2.0,Kuwait
KGZ,73,0.695,0.6984938201195586,0.6563461434388875,67.0,87.0,-0.0421476766806711,20.0,Kyrgyzstan
LAO,61,0.714,0.7229994811964943,0.7229040052416955,49.0,34.0,-9.54759547987516e-05,-15.0,Laos
LVA,26,0.755,0.747087694254215,0.6938148653382167,30.0,54.0,-0.05327282891599827,24.0,Latvia
LBN,122,0.558,0.5480010748068508,0.5263760998857977,133.0,135.0,-0.021624974921053086,2.0,Lebanon
LSO,98,0.648,0.6381038904168305,0.5931752490881941,102.0,116.0,-0.04492864132863639,14.0,Lesotho
LBR,1,0.874,0.8589046756795113,0.8335330564627683,1.0,1.0,-0.025371619216743024,0.0,Liberia
LTU,24,0.76,0.7584164311168778,0.6980625643426457,24.0,48.0,-0.06035386677423216,24.0,Lithuania
LUX,44,0.735,0.7436942725234493,0.7451791627819648,33.0,18.0,0.0014848902585155033,-15.0,Luxembourg
MDG,25,0.759,0.7492870166319708,0.7492623430421885,27.0,14.0,-2.4673589782309158e-05,-13.0,Madagascar
MYS,102,0.634,0.6479181877906736,0.6456959179528181,99.0,96.0,-0.0022222698378554506,-3.0,Malaysia
MDV,132,0.514,0.5945471446304168,0.5969578789041908,119.0,114.0,0.002410734273774029,-5.0,Maldives
MLI,135,0.495,0.5144679579407174,0.5052981901962605,136.0,136.0,-0.00916976774445688,0.0,Mali
MLT,78,0.68,0.6795891200361034,0.6821300654373192,82.0,65.0,0.002540945401215855,-17.0,Malta
MUS,113,0.603,0.6171529502417655,0.6224584365950108,111.0,106.0,0.005305486353245237,-5.0,Mauritius
MEX,109,0.612,0.6098635520808771,0.6187022642200664,114.0,108.0,0.008838712139189298,-6.0,Mexico
MDA,5,0.837,0.8224768334033999,0.7456555700263449,4.0,16.0,-0.07682126337705508,12.0,Moldova
MNG,43,0.736,0.7397971989084453,0.6848922318818907,39.0,64.0,-0.05490496702655456,25.0,Mongolia
MNE,50,0.724,0.7233939628242436,0.6959949595351347,48.0,50.0,-0.027399003289108936,2.0,Montenegro
MAR,141,0.406,0.444656082022653,0.44847644135567166,142.0,142.0,0.0038203593330186636,0.0,Morocco
MOZ,76,0.69,0.6795701161533456,0.677852092501698,83.0,69.0,-0.0017180236516476377,-14.0,Mozambique
NAM,17,0.783,0.7645225106908945,0.7385696223157993,21.0,21.0,-0.02595288837509524,0.0,Namibia
NPL,137,0.475,0.500134200129004,0.49897199066747777,137.0,137.0,-0.0011622094615262313,0.0,Nepal
NLD,74,0.694,0.6975948448392855,0.7011570751836875,68.0,45.0,0.003562230344402062,-23.0,Netherlands
NZL,36,0.741,0.7633369682286428,0.7257750756419749,22.0,31.0,-0.03756189258666798,9.0,New Zealand
NIC,100,0.642,0.637859082123991,0.6207080602941589,103.0,107.0,-0.01715102182983208,4.0,Nicaragua
NER,91,0.664,0.6599976779375778,0.6550895434506214,91.0,89.0,-0.0049081344869563726,-2.0,Niger
NGA,49,0.726,0.719105319075812,0.6526127481175139,51.0,91.0,-0.06649257095829808,40.0,Nigeria
MKD,101,0.635,0.6393206436976903,0.6270738776491095,101.0,103.0,-0.01224676604858077,2.0,North Macedonia
NOR,9,0.799,0.7665904454552753,0.7584894110415202,17.0,12.0,-0.008101034413755093,-5.0,Norway
