code,wef_rank,wef_score,score,revised_score,rank,revised_rank,diff_score,diff_rank,country
HUN,1,0.98,0.9753021659881411,0.9577467443514877,1.0,106.0,-0.017555421636653468,105.0,Hungary
ISL,124,0.962,0.9598098530622182,0.9692272735843839,122.0,19.0,0.009417420522165654,-103.0,Iceland
IND,142,0.951,0.9486987768718474,0.9583207473331026,142.0,102.0,0.009621970461255125,-40.0,India
IDN,72,0.97,0.9664766244911058,0.9644443449497289,76.0,59.0,-0.002032279541376969,-17.0,Indonesia
IRN,116,0.964,0.9615400068036997,0.9712841899419451,113.0,1.0,0.009744183138245432,-112.0,Iran
IRL,111,0.964,0.9618098530622182,0.9697639179814144,108.0,15.0,0.007954064919196147,-93.0,Ireland
ISR,109,0.965,0.9620796993207367,0.9692675053634945,107.0,18.0,0.007187806042757816,-89.0,Israel
ITA,94,0.967,0.9645083156474028,0.9677288025021067,92.0,32.0,0.0032204868547038856,-60.0,Italy
JAM,93,0.967,0.9645083156474028,0.9600354025171377,92.0,94.0,-0.004472913130265099,2.0,Jamaica
JPN,58,0.973,0.9696353945592535,0.9617283026360028,56.0,82.0,-0.007907091923250675,26.0,Japan
JOR,140,0.957,0.9556033891162936,0.9636429075282256,138.0,65.0,0.008039518411931956,-73.0,Jordan
KAZ,46,0.976,0.9716513972807335,0.947518936646732,47.0,135.0,-0.02413246063400143,88.0,Kazakhstan
KEN,52,0.975,0.9712544721103642,0.9618979621791613,49.0,77.0,-0.00935650993120285,28.0,Kenya
KWT,87,0.968,0.9653178544229581,0.9643622961265715,81.0,60.0,-0.0009555582963866049,-21.0,Kuwait
KGZ,1,0.98,0.9753021659881411,0.9553482028149416,1.0,114.0,-0.01995396317319953,113.0,Kyrgyzstan
LAO,50,0.975,0.9712544721103642,0.9617543273736329,49.0,80.0,-0.00950014473673133,31.0,Laos
LVA,48,0.976,0.970921243539252,0.9454606641525543,53.0,138.0,-0.025460579386697768,85.0,Latvia
LBN,67,0.971,0.9674766244911058,0.9666992264798633,65.0,43.0,-0.0007773980112425471,-22.0,Lebanon
LSO,1,0.98,0.9753021659881411,0.9523702017002069,1.0,126.0,-0.022931964287934203,125.0,Lesotho
LBR,125,0.962,0.9596510829940705,0.9667057173346534,125.0,42.0,0.007054634340582844,-83.0,Liberia
LTU,1,0.98,0.9753021659881411,0.9486895649240502,1.0,134.0,-0.026612601064090913,133.0,Lithuania
LUX,108,0.965,0.9623495455792552,0.968254499116198,105.0,29.0,0.005904953536942759,-76.0,Luxembourg
MDG,102,0.966,0.9631590843548106,0.9707153826496104,102.0,6.0,0.007556298294799868,-96.0,Madagascar
MYS,80,0.969,0.9649846258518459,0.9601976716490923,88.0,93.0,-0.004786954202753546,5.0,Malaysia
MDV,121,0.963,0.9601907755111074,0.9712045375156318,120.0,3.0,0.011013762004524419,-117.0,Maldives
MLI,135,0.959,0.9572224666674045,0.9676795623791417,134.0,34.0,0.010457095711737141,-100.0,Mali
MLT,133,0.96,0.9573178544229581,0.9630612896363568,133.0,71.0,0.0057434352133987066,-62.0,Malta
MUS,1,0.98,0.9753021659881411,0.9575239449169837,1.0,108.0,-0.017778221071157452,107.0,Mauritius
MEX,49,0.975,0.9715243183688828,0.9598949144280391,48.0,95.0,-0.011629403940843663,47.0,Mexico
MDA,40,0.977,0.9731117047636966,0.9510320286837821,40.0,130.0,-0.022079676079914456,90.0,Moldova
MNG,1,0.98,0.9753021659881411,0.9457702312471719,1.0,137.0,-0.029531934740969268,136.0,Mongolia
MNE,78,0.969,0.964921243539252,0.9505246455277534,90.0,131.0,-0.014396598011498618,41.0,Montenegro
MAR,131,0.961,0.9591113904770336,0.9672953138319751,129.0,38.0,0.008183923354941447,-91.0,Morocco
MOZ,1,0.98,0.9753021659881411,0.9579790839371104,1.0,104.0,-0.017323082051030725,103.0,Mozambique
NAM,1,0.98,0.9753021659881411,0.9522074551189663,1.0,127.0,-0.023094710869174806,126.0,Namibia
NPL,82,0.969,0.9655877006814766,0.9671618091412764,78.0,39.0,0.0015741084597997723,-39.0,Nepal
NLD,126,0.962,0.9596510829940705,0.9712237743437042,125.0,2.0,0.01157269134963368,-123.0,Netherlands
