IndicatorCode,IndicatorName,Country,CountryCode,Year,Sex,DeathRate,DeathRate_Low,DeathRate_High,Comments,DataSource
SA_0000001444,,DOM,COUNTRY,2004,SEX_MLE,208.3,,,,
SA_0000001444,,DZA,COUNTRY,2004,SEX_BTSX,78.9,,,,
SA_0000001444,,DZA,COUNTRY,2004,SEX_FMLE,65.1,,,,
SA_0000001444,,DZA,COUNTRY,2004,SEX_MLE,95.0,,,,
SA_0000001444,,ECU,COUNTRY,2004,SEX_BTSX,54.8,,,,
SA_0000001444,,ECU,COUNTRY,2004,SEX_FMLE,41.8,,,,
SA_0000001444,,ECU,COUNTRY,2004,SEX_MLE,69.1,,,,
SA_0000001444,,EGY,COUNTRY,2004,SEX_BTSX,252.3,,,,
SA_0000001444,,EGY,COUNTRY,2004,SEX_FMLE,209.7,,,,
SA_0000001444,,EGY,COUNTRY,2004,SEX_MLE,300.3,,,,
SA_0000001444,,ERI,COUNTRY,2004,SEX_BTSX,95.5,,,,
SA_0000001444,,ERI,COUNTRY,2004,SEX_FMLE,78.0,,,,
SA_0000001444,,ERI,COUNTRY,2004,SEX_MLE,123.2,,,,
SA_0000001444,,ESP,COUNTRY,2004,SEX_BTSX,52.4,,,,
SA_0000001444,,ESP,COUNTRY,2004,SEX_FMLE,33.9,,,,
SA_0000001444,,ESP,COUNTRY,2004,SEX_MLE,74.4,,,,
SA_0000001444,,EST,COUNTRY,2004,SEX_BTSX,222.0,,,,
SA_0000001444,,EST,COUNTRY,2004,SEX_FMLE,158.4,,,,
SA_0000001444,,EST,COUNTRY,2004,SEX_MLE,326.7,,,,
SA_0000001444,,ETH,COUNTRY,2004,SEX_BTSX,113.5,,,,
SA_0000001444,,ETH,COUNTRY,2004,SEX_FMLE,95.6,,,,
SA_0000001444,,ETH,COUNTRY,2004,SEX_MLE,134.6,,,,
SA_0000001444,,FIN,COUNTRY,2004,SEX_BTSX,108.4,,,,
SA_0000001444,,FIN,COUNTRY,2004,SEX_FMLE,72.2,,,,
SA_0000001444,,FIN,COUNTRY,2004,SEX_MLE,155.3,,,,
SA_0000001444,,FJI,COUNTRY,2004,SEX_BTSX,149.5,,,,
SA_0000001444,,FJI,COUNTRY,2004,SEX_FMLE,71.9,,,,
SA_0000001444,,FJI,COUNTRY,2004,SEX_MLE,236.0,,,,
SA_0000001444,,FRA,COUNTRY,2004,SEX_BTSX,38.0,,,,
SA_0000001444,,FRA,COUNTRY,2004,SEX_FMLE,23.7,,,,
SA_0000001444,,FRA,COUNTRY,2004,SEX_MLE,56.3,,,,
SA_0000001444,,FSM,COUNTRY,2004,SEX_BTSX,109.9,,,,
SA_0000001444,,FSM,COUNTRY,2004,SEX_FMLE,62.9,,,,
SA_0000001444,,FSM,COUNTRY,2004,SEX_MLE,162.1,,,,
SA_0000001444,,GAB,COUNTRY,2004,SEX_BTSX,102.6,,,,
SA_0000001444,,GAB,COUNTRY,2004,SEX_FMLE,75.7,,,,
SA_0000001444,,GAB,COUNTRY,2004,SEX_MLE,133.3,,,,
SA_0000001444,,GBR,COUNTRY,2004,SEX_BTSX,90.1,,,,
SA_0000001444,,GBR,COUNTRY,2004,SEX_FMLE,60.7,,,,
SA_0000001444,,GBR,COUNTRY,2004,SEX_MLE,126.0,,,,
SA_0000001444,,GEO,COUNTRY,2004,SEX_BTSX,245.9,,,,
SA_0000001444,,GEO,COUNTRY,2004,SEX_FMLE,191.3,,,,
SA_0000001444,,GEO,COUNTRY,2004,SEX_MLE,320.1,,,,
SA_0000001444,,GHA,COUNTRY,2004,SEX_BTSX,110.4,,,,
SA_0000001444,,GHA,COUNTRY,2004,SEX_FMLE,95.4,,,,
SA_0000001444,,GHA,COUNTRY,2004,SEX_MLE,126.2,,,,
SA_0000001444,,GIN,COUNTRY,2004,SEX_BTSX,116.2,,,,
SA_0000001444,,GIN,COUNTRY,2004,SEX_FMLE,93.7,,,,
SA_0000001444,,GIN,COUNTRY,2004,SEX_MLE,143.3,,,,
SA_0000001444,,GMB,COUNTRY,2004,SEX_BTSX,115.7,,,,
SA_0000001444,,GMB,COUNTRY,2004,SEX_FMLE,91.3,,,,
SA_0000001444,,GMB,COUNTRY,2004,SEX_MLE,142.4,,,,
SA_0000001444,,GNB,COUNTRY,2004,SEX_BTSX,126.7,,,,
SA_0000001444,,GNB,COUNTRY,2004,SEX_FMLE,103.1,,,,
SA_0000001444,,GNB,COUNTRY,2004,SEX_MLE,155.5,,,,
SA_0000001444,,GNQ,COUNTRY,2004,SEX_BTSX,129.7,,,,
SA_0000001444,,GNQ,COUNTRY,2004,SEX_FMLE,100.0,,,,
SA_0000001444,,GNQ,COUNTRY,2004,SEX_MLE,165.9,,,,
SA_0000001444,,GRC,COUNTRY,2004,SEX_BTSX,78.3,,,,
SA_0000001444,,GRC,COUNTRY,2004,SEX_FMLE,51.8,,,,
SA_0000001444,,GRC,COUNTRY,2004,SEX_MLE,107.9,,,,
SA_0000001444,,GRD,COUNTRY,2004,SEX_BTSX,106.9,,,,
SA_0000001444,,GRD,COUNTRY,2004,SEX_FMLE,80.7,,,,
SA_0000001444,,GRD,COUNTRY,2004,SEX_MLE,145.8,,,,
SA_0000001444,,GTM,COUNTRY,2004,SEX_BTSX,61.9,,,,
SA_0000001444,,GTM,COUNTRY,2004,SEX_FMLE,51.0,,,,
SA_0000001444,,GTM,COUNTRY,2004,SEX_MLE,74.1,,,,
SA_0000001444,,GUY,COUNTRY,2004,SEX_BTSX,164.2,,,,
SA_0000001444,,GUY,COUNTRY,2004,SEX_FMLE,142.1,,,,
SA_0000001444,,GUY,COUNTRY,2004,SEX_MLE,187.5,,,,
SA_0000001444,,HND,COUNTRY,2004,SEX_BTSX,155.8,,,,
SA_0000001444,,HND,COUNTRY,2004,SEX_FMLE,134.5,,,,
SA_0000001444,,HND,COUNTRY,2004,SEX_MLE,178.5,,,,
SA_0000001444,,HRV,COUNTRY,2004,SEX_BTSX,139.7,,,,
SA_0000001444,,HRV,COUNTRY,2004,SEX_FMLE,107.5,,,,
SA_0000001444,,HRV,COUNTRY,2004,SEX_MLE,182.0,,,,
SA_0000001444,,HTI,COUNTRY,2004,SEX_BTSX,58.3,,,,
SA_0000001444,,HTI,COUNTRY,2004,SEX_FMLE,42.8,,,,
SA_0000001444,,HTI,COUNTRY,2004,SEX_MLE,76.3,,,,
SA_0000001444,,HUN,COUNTRY,2004,SEX_BTSX,184.1,,,,
SA_0000001444,,HUN,COUNTRY,2004,SEX_FMLE,139.3,,,,
SA_0000001444,,HUN,COUNTRY,2004,SEX_MLE,247.1,,,,
SA_0000001444,,IDN,COUNTRY,2004,SEX_BTSX,159.7,,,,
SA_0000001444,,IDN,COUNTRY,2004,SEX_FMLE,136.8,,,,
SA_0000001444,,IDN,COUNTRY,2004,SEX_MLE,186.6,,,,
SA_0000001444,,IND,COUNTRY,2004,SEX_BTSX,207.7,,,,
SA_0000001444,,IND,COUNTRY,2004,SEX_FMLE,176.6,,,,
SA_0000001444,,IND,COUNTRY,2004,SEX_MLE,239.3,,,,
SA_0000001444,,IRL,COUNTRY,2004,SEX_BTSX,100.3,,,,
SA_0000001444,,IRL,COUNTRY,2004,SEX_FMLE,67.7,,,,
SA_0000001444,,IRL,COUNTRY,2004,SEX_MLE,138.3,,,,
SA_0000001444,,IRN,COUNTRY,2004,SEX_BTSX,221.6,,,,
SA_0000001444,,IRN,COUNTRY,2004,SEX_FMLE,186.3,,,,
SA_0000001444,,IRN,COUNTRY,2004,SEX_MLE,257.3,,,,
SA_0000001444,,IRQ,COUNTRY,2004,SEX_BTSX,303.8,,,,
SA_0000001444,,IRQ,COUNTRY,2004,SEX_FMLE,226.5,,,,
SA_0000001444,,IRQ,COUNTRY,2004,SEX_MLE,385.9,,,,
SA_0000001444,,ISL,COUNTRY,2004,SEX_BTSX,88.8,,,,
SA_0000001444,,ISL,COUNTRY,2004,SEX_FMLE,56.1,,,,
SA_0000001444,,ISL,COUNTRY,2004,SEX_MLE,127.1,,,,
SA_0000001444,,ISR,COUNTRY,2004,SEX_BTSX,58.8,,,,
SA_0000001444,,ISR,COUNTRY,2004,SEX_FMLE,41.9,,,,
SA_0000001444,,ISR,COUNTRY,2004,SEX_MLE,80.2,,,,
SA_0000001444,,ITA,COUNTRY,2004,SEX_BTSX,61.9,,,,
SA_0000001444,,ITA,COUNTRY,2004,SEX_FMLE,42.1,,,,
SA_0000001444,,ITA,COUNTRY,2004,SEX_MLE,87.1,,,,
SA_0000001444,,JAM,COUNTRY,2004,SEX_BTSX,136.9,,,,
SA_0000001444,,JAM,COUNTRY,2004,SEX_FMLE,116.4,,,,
SA_0000001444,,JAM,COUNTRY,2004,SEX_MLE,159.3,,,,
SA_0000001444,,JOR,COUNTRY,2004,SEX_BTSX,212.6,,,,
SA_0000001444,,JOR,COUNTRY,2004,SEX_FMLE,161.9,,,,
SA_0000001444,,JOR,COUNTRY,2004,SEX_MLE,261.7,,,,
SA_0000001444,,JPN,COUNTRY,2004,SEX_BTSX,32.1,,,,
SA_0000001444,,JPN,COUNTRY,2004,SEX_FMLE,21.2,,,,
SA_0000001444,,JPN,COUNTRY,2004,SEX_MLE,45.1,,,,
SA_0000001444,,KAZ,COUNTRY,2004,SEX_BTSX,400.5,,,,
SA_0000001444,,KAZ,COUNTRY,2004,SEX_FMLE,301.3,,,,
SA_0000001444,,KAZ,COUNTRY,2004,SEX_MLE,552.9,,,,
SA_0000001444,,KEN,COUNTRY,2004,SEX_BTSX,103.6,,,,
SA_0000001444,,KEN,COUNTRY,2004,SEX_FMLE,83.2,,,,
